title	type	url_slug	venue	date	location	talk_url	description
Transferability of Adversarial Examples to Attack Cloud-based Image Classifier Service	Talk	defcon2019-1	Defcon China 2019	2019-05-31	Beijing, China	https://www.defcon.org/html/dc-china-1/dc-cn-1-speakers.html	
Face Swapping Video Detection with CNN	Talk	defcon2019-2	Defcon China 2019	2019-05-31	Beijing, China	https://www.defcon.org/html/dc-china-1/dc-cn-1-speakers.html	
COMMSEC: Tracking Fake News Based On Deep Learning	Talk	HITB-GSEC-2019-01	HITB GSEC 2019	2019-08-31	Singapore	https://gsec.hitb.org/sg2019/sessions/commsec-hacking-object-detectors-is-just-like-training-neural-networks/	
